,Movie Name,Cast,Year,Velocity,Ratings Info
45,Uncharted,"Ruben Fleischer (dir.), Tom Holland, Mark Wahlberg",(2022),46 (  12) ,"6.4 based on 150,042 user ratings"
46,Once Upon a Time in... Hollywood,"Quentin Tarantino (dir.), Leonardo DiCaprio, Brad Pitt",(2019),47 (  8) ,"7.6 based on 703,450 user ratings"
47,Fantastic Beasts: The Secrets of Dumbledore,"David Yates (dir.), Eddie Redmayne, Jude Law",(2022),48 (  13) ,"6.2 based on 114,614 user ratings"
48,No Time to Die,"Cary Joji Fukunaga (dir.), Daniel Craig, Ana de Armas",(2021),49 (  6) ,"7.3 based on 377,269 user ratings"
49,RRR (Rise Roar Revolt),"S.S. Rajamouli (dir.), N.T. Rama Rao Jr., Ram Charan",(2022),50 (  3) ,"8.0 based on 86,938 user ratings"
50,Death on the Nile,"Kenneth Branagh (dir.), Tom Bateman, Annette Bening",(2022),51 (  4) ,"6.3 based on 127,820 user ratings"
51,Resident Evil: Welcome to Raccoon City,"Johannes Roberts (dir.), Kaya Scodelario, Robbie Amell",(2021),52 (  130) ,"5.2 based on 48,776 user ratings"
52,365 dni,"Barbara Bialowas (dir.), Anna-Maria Sieklucka, Michele Morrone",(2020),53 (  4) ,"3.3 based on 84,853 user ratings"
53,Goodfellas,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",(1990),54 (  14) ,"8.7 based on 1,131,190 user ratings"
54,Crimes of the Future,"David Cronenberg (dir.), Viggo Mortensen, Léa Seydoux",(2022),55 (  13) ,"5.9 based on 13,937 user ratings"
55,Jurassic Park,"Steven Spielberg (dir.), Sam Neill, Laura Dern",(1993),56 (  4) ,"8.2 based on 967,465 user ratings"
56,Men,"Alex Garland (dir.), Jessie Buckley, Rory Kinnear",(2022),57 (  20) ,"6.1 based on 21,163 user ratings"
57,Morbius,"Daniel Espinosa (dir.), Jared Leto, Matt Smith",(2022),58 (  14) ,"5.2 based on 93,617 user ratings"
58,The Shawshank Redemption,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",(1994),59 (  7) ,"9.3 based on 2,613,648 user ratings"
59,Paws of Fury: The Legend of Hank,"Chris Bailey (dir.), Michael Cera, Samuel L. Jackson",(2022),60 (  158) ,5.7 based on 636 user ratings
60,12 Strong,"Nicolai Fuglsig (dir.), Chris Hemsworth, Michael Shannon",(2018),"61 (  2,328) ","6.5 based on 79,840 user ratings"
61,The Marvels,"Nia DaCosta (dir.), Iman Vellani, Zawe Ashton",(2023),62 (  488) ,
62,Avengers: Endgame,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",(2019),63 (  4) ,"8.4 based on 1,078,222 user ratings"
63,Dune: Part One,"Denis Villeneuve (dir.), Timothée Chalamet, Rebecca Ferguson",(2021),64 (  3) ,"8.0 based on 592,066 user ratings"
64,Les liaisons dangereuses,"Rachel Suissa (dir.), Paola Locatelli, Simon Rérolle",(2022),"65 (  1,548) ",3.9 based on 994 user ratings
65,Day Shift,"J.J. Perry (dir.), Jamie Foxx, Dave Franco",(2022),"66 (  1,824) ",
66,Malnazidos,"Alberto de Toro (dir.), Miki Esparbé, Aura Garrido",(2020),"67 (  10,065) ","5.7 based on 2,408 user ratings"
67,Thor: The Dark World,"Alan Taylor (dir.), Chris Hemsworth, Natalie Portman",(2013),68 (  26) ,"6.8 based on 668,693 user ratings"
68,Eternals,"Chloé Zhao (dir.), Gemma Chan, Richard Madden",(2021),69 (  4) ,"6.3 based on 321,651 user ratings"
69,"Good Luck to You, Leo Grande","Sophie Hyde (dir.), Emma Thompson, Daryl McCormack",(2022),70 (  11) ,"7.1 based on 8,953 user ratings"
70,Watcher,"Chloe Okuno (dir.), Maika Monroe, Karl Glusman",(2022),71 (  17) ,"6.3 based on 10,199 user ratings"
71,Mrs. Harris Goes to Paris,"Anthony Fabian (dir.), Alba Baptista, Lesley Manville",(2022),72 (  279) ,7.6 based on 613 user ratings
72,Clerks III,"Kevin Smith (dir.), Ben Affleck, Kevin Smith",(2022),73 (  27) ,
73,The Wolf of Wall Street,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",(2013),74 (  4) ,"8.2 based on 1,360,512 user ratings"
74,Ghostbusters: Afterlife,"Jason Reitman (dir.), Carrie Coon, Paul Rudd",(2021),75 (  13) ,"7.1 based on 164,322 user ratings"
75,Orphan,"Jaume Collet-Serra (dir.), Vera Farmiga, Peter Sarsgaard",(2009),76 (  637) ,"7.0 based on 215,389 user ratings"
76,DC League of Super-Pets,"Jared Stern (dir.), Dwayne Johnson, Kevin Hart",(2022),77 (  32) ,
77,Midsommar,"Ari Aster (dir.), Florence Pugh, Jack Reynor",(2019),78 (  14) ,"7.1 based on 297,139 user ratings"
78,Avatar: The Way of Water,"James Cameron (dir.), Michelle Yeoh, Zoe Saldana",(2022),79 (  26) ,
79,The Dark Knight,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",(2008),80 (  11) ,"9.0 based on 2,585,739 user ratings"
80,Titanic,"James Cameron (dir.), Leonardo DiCaprio, Kate Winslet",(1997),81 (  19) ,"7.9 based on 1,146,363 user ratings"
81,Downton Abbey: A New Era,"Simon Curtis (dir.), Hugh Bonneville, Jim Carter",(2022),82 (  19) ,"7.5 based on 14,942 user ratings"
82,Don't Make Me Go,"Hannah Marks (dir.), John Cho, Mia Isaac",(2022),"83 (  2,977) ","6.4 based on 1,130 user ratings"
83,Ambulance,"Michael Bay (dir.), Jake Gyllenhaal, Yahya Abdul-Mateen II",(2022),84 (  5) ,"6.1 based on 54,087 user ratings"
84,Interstellar,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",(2014),85 (  23) ,"8.6 based on 1,756,271 user ratings"
85,It,"Andy Muschietti (dir.), Bill Skarsgård, Jaeden Martell",(2017),86 (  15) ,"7.3 based on 527,168 user ratings"
86,The Talented Mr. Ripley,"Anthony Minghella (dir.), Matt Damon, Gwyneth Paltrow",(1999),87 (  9) ,"7.4 based on 208,514 user ratings"
87,Inception,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",(2010),88 (  2) ,"8.8 based on 2,293,469 user ratings"
88,Free Guy,"Shawn Levy (dir.), Ryan Reynolds, Jodie Comer",(2021),89 (  4) ,"7.1 based on 351,355 user ratings"
89,Black Panther: Wakanda Forever,"Ryan Coogler (dir.), Letitia Wright, Martin Freeman",(2022),90 (  36) ,
90,The Woman King,"Gina Prince-Bythewood (dir.), Lashana Lynch, Viola Davis",(2022),91 (  53) ,
91,American Psycho,"Mary Harron (dir.), Christian Bale, Justin Theroux",(2000),92 (  25) ,"7.6 based on 583,930 user ratings"
92,Se7en,"David Fincher (dir.), Morgan Freeman, Brad Pitt",(1995),93 (  32) ,"8.6 based on 1,605,638 user ratings"
93,Mean Girls,"Mark Waters (dir.), Lindsay Lohan, Jonathan Bennett",(2004),94 (  10) ,"7.1 based on 375,692 user ratings"
94,Black Adam,"Jaume Collet-Serra (dir.), Dwayne Johnson, Sarah Shahi",(2022),95 (  28) ,
95,CODA,"Sian Heder (dir.), Emilia Jones, Marlee Matlin",(2021),96 (  55) ,"8.0 based on 117,918 user ratings"
96,Sonic the Hedgehog 2,"Jeff Fowler (dir.), James Marsden, Jim Carrey",(2022),97 (  12) ,"6.6 based on 53,178 user ratings"
97,The Godfather Part II,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",(1974),98 (  4) ,"9.0 based on 1,243,910 user ratings"
98,Harry Potter and the Sorcerer's Stone,"Chris Columbus (dir.), Daniel Radcliffe, Rupert Grint",(2001),99 (  16) ,"7.6 based on 759,976 user ratings"
99,"Hello, Goodbye and Everything in Between","Michael Lewen (dir.), Jordan Fisher, Talia Ryder",(2022),100 (  11) ,"4.9 based on 1,765 user ratings"
